STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
FL,TBW,Charlotte,12015,E,sw,-81.894,26.9069
AK,AFC,Aleutians East,2013,A,,-161.863,55.4039
AK,AFC,Aleutians West,2016,Ah,,-111.1392,52.8883
AK,AFC,Lake and Peninsula,2164,A,,-156.1833,58.6478
AK,AFCAFG,Denali,2068,A,,-150.0089,63.6734
AK,AFCAFG,Yukon-Koyukuk,2290,A,,-151.3894,65.5095
AK,AFG,Nome,2180,A,,-163.9674,64.8981
AK,AFCAFG,Kusilvak,2158,A,,-163.348,62.1265
AK,AFCAFG,Bethel,2050,A,,-159.7207,60.9126
AK,AFG,Fairbanks North Star,2090,A,,-146.563,64.8084
AK,AFCAFG,Southeast Fairbanks,2240,A,,-143.2062,63.8771
AK,AFCAFG,Matanuska-Susitna,2170,A,,-149.5701,62.316
AK,AFC,Anchorage,2020,A,,-149.1067,61.1501
AK,AFC,Dillingham,2070,A,,-158.2119,59.8021
AK,AFC,Kenai Peninsula,2122,A,,-151.5667,60.2619
AK,AFG,Northwest Arctic,2188,A,,-159.7054,67.0642
AK,AFG,North Slope,2185,A,,-153.4401,69.3084
AK,AFC,Bristol Bay,2060,A,,-156.7013,58.7423
AK,AFC,Kodiak Island,2150,A,,-153.8059,57.6779
AK,AJK,Yakutat,2282,A,,-140.3977,59.9
AK,AJK,Hoonah-Angoon,2105,A,,-135.3203,58.1896
AK,AJK,Haines,2100,A,,-135.5056,59.1216
AK,AJK,Juneau,2110,A,,-134.1803,58.4596
AK,AJK,Sitka,2220,A,,-135.3008,57.2356
AK,AJK,Ketchikan Gateway,2130,A,,-130.9276,55.5941
AK,AJK,Prince of Wales-Hyder,2198,A,,-132.6964,55.5105
AK,AJK,Wrangell,2275,A,,-132.0028,56.3281
AK,AJK,Petersburg Census Area,2195,A,,-133.2557,56.8226
AK,AJK,Skagway,2230,A,,-135.3379,59.5602
AK,AFCAFGAJK,Valdez-Cordova,2261,A,,-144.4625,61.5735
AL,MOB,Crenshaw,1041,C,sc,-86.3136,31.7315
AL,HUN,Cullman,1043,C,nc,-86.8676,34.132
AL,TAE,Dale,1045,C,se,-85.611,31.4318
AL,BMX,Dallas,1047,C,sc,-87.1065,32.3258
AL,HUN,DeKalb,1049,C,ne,-85.8041,34.4598
AL,BMX,Elmore,1051,C,ec,-86.1492,32.5966
AL,MOB,Escambia,1053,C,sc,-87.1616,31.1262
AL,BMX,Etowah,1055,C,ne,-86.0348,34.0453
AL,BMX,Fayette,1057,C,wc,-87.7388,33.7212
AL,HUN,Franklin,1059,C,nw,-87.8438,34.4417
AL,TAE,Geneva,1061,C,se,-85.839,31.095
AL,BMX,Greene,1063,C,wc,-87.9522,32.8531
AL,BMX,Hale,1065,C,wc,-87.6291,32.7627
AL,TAE,Houston,1069,C,se,-85.3025,31.1532
AL,BMX,Jefferson,1073,C,cc,-86.8965,33.5543
AL,BMX,Lamar,1075,C,wc,-88.0969,33.7792
AL,HUN,Lauderdale,1077,C,nw,-87.6543,34.9015
AL,HUN,Lawrence,1079,C,nw,-87.311,34.522
AL,BMX,Lee,1081,C,ec,-85.3556,32.6012
AL,HUN,Limestone,1083,C,nc,-86.9813,34.8101
AL,BMX,Lowndes,1085,C,sc,-86.6501,32.1548
AL,BMX,Macon,1087,C,se,-85.6926,32.386
AL,HUN,Madison,1089,C,nc,-86.5502,34.7631
AL,BMX,Marengo,1091,C,sw,-87.7895,32.2476
AL,BMX,Marion,1093,C,nw,-87.8871,34.1366
AL,HUN,Marshall,1095,C,ne,-86.3066,34.3669
AL,MOB,Monroe,1099,C,sc,-87.3658,31.5706
AL,BMX,Montgomery,1101,C,sc,-86.2076,32.2202
AL,HUN,Morgan,1103,C,nc,-86.8529,34.4535
AL,BMX,Calhoun,1015,C,ec,-85.8261,33.7714
AL,MOB,Butler,1013,C,sc,-86.6803,31.7524
AL,BMX,Bullock,1011,C,se,-85.7161,32.1005
AL,BMX,Blount,1009,C,cc,-86.5674,33.9809
AL,BMX,Bibb,1007,C,cc,-87.1264,32.9986
AL,BMX,Barbour,1005,C,se,-85.3932,31.8696
AL,HUN,Jackson,1071,C,ne,-85.9993,34.7794
AL,BMX,Cherokee,1019,C,ne,-85.6038,34.176
AL,BMX,Chilton,1021,C,cc,-86.7188,32.8479
AL,MOB,Choctaw,1023,C,sw,-88.2628,32.0192
AL,BMX,Clay,1027,C,ec,-85.8605,33.2691
AL,BMX,Cleburne,1029,C,ec,-85.5188,33.6745
AL,TAE,Coffee,1031,C,se,-85.9882,31.4026
AL,HUN,Colbert,1033,C,nw,-87.8049,34.7004
AL,MOB,Conecuh,1035,C,sc,-86.9936,31.4293
AL,BMX,Coosa,1037,C,ec,-86.2476,32.9362
AL,MOB,Covington,1039,C,sc,-86.4512,31.2485
AL,BMX,Perry,1105,C,cc,-87.2942,32.6385
AL,BMX,Pickens,1107,C,wc,-88.0887,33.2809
AL,BMX,Pike,1109,C,se,-85.9409,31.8024
AL,BMX,Randolph,1111,C,ec,-85.4591,33.2938
AL,BMX,Russell,1113,C,se,-85.1849,32.2884
AL,BMX,St. Clair,1115,C,cc,-86.3147,33.7157
AL,BMX,Shelby,1117,C,cc,-86.6607,33.2643
AL,BMX,Sumter,1119,C,wc,-88.1988,32.591
AL,BMX,Talladega,1121,C,ec,-86.1659,33.38
AL,BMX,Tallapoosa,1123,C,ec,-85.7975,32.8624
AL,BMX,Tuscaloosa,1125,C,wc,-87.525,33.2896
