name,description,latitude,longitude,stf,st
Alabama,Montgomery,32.377716,-86.300568,AL,al
Alaska,Juneau,58.301598,-134.420212,AK,ak
Arizona,Phoenix,33.448143,-112.096962,AZ,az
Arkansas,Little Rock,34.746613,-92.288986,AK,ak
California,Sacramento,38.576668,-121.493629,CA,ca
Colorado,Denver,39.739227,-104.984856,CO,co
Connecticut,Hartford,41.764046,-72.682198,CT,ct
Delaware,Dover,39.157307,-75.519722,DE,de
Florida,Tallahassee,30.438118,-84.281296,FL,fl
Georgia,Atlanta,33.749027,-84.388229,GA,ga
Hawaii,Honolulu,21.307442,-157.857376,HI,hi
Idaho,Boise,43.617775,-116.199722,ID,id
Illinois,Springfield,39.798363,-89.654961,IL,il
Indiana,Indianapolis,39.768623,-86.162643,IN,in
Iowa,Des Moines,41.591087,-93.603729,IA,ia
Kansas,Topeka,39.048191,-95.677956,KS,ks
Kentucky,Frankfort,38.186722,-84.875374,KY,ky
Louisiana,Baton Rouge,30.457069,-91.187393,LA,la
Maine,Augusta,44.307167,-69.781693,ME,me
Maryland,Annapolis,38.978764,-76.490936,MD,md
Massachusetts,Boston,42.358162,-71.063698,MA,ma
Michigan,Lansing,42.733635,-84.555328,MI,mi
Minnesota,St. Paul,44.955097,-93.102211,MN,mn
Mississippi,Jackson,32.303848,-90.182106,MS,ms
Missouri,Jefferson City,38.579201,-92.172935,MO,mo
Montana,Helena,46.585709,-112.018417,MT,mt
Nebraska,Lincoln,40.808075,-96.699654,NE,ne
Nevada,Carson City,39.163914,-119.766121,NV,nv
New Hampshire,Concord,43.206898,-71.537994,NH,nh
New Jersey,Trenton,40.220596,-74.769913,NJ,nj
New Mexico,Santa Fe,35.68224,-105.939728,NM,nm
New York,Albany,42.652843,-73.757874,NY,ny
North Carolina,Raleigh,35.78043,-78.639099,NC,nc
North Dakota,Bismarck,46.82085,-100.783318,ND,nd
Ohio,Columbus,39.961346,-82.999069,OH,oh
Oklahoma,Oklahoma City,35.492207,-97.503342,OK,ok
Oregon,Salem,44.938461,-123.030403,OR,or
Pennsylvania,Harrisburg,40.264378,-76.883598,PA,pa
Rhode Island,Providence,41.830914,-71.414963,RI,ri
South Carolina,Columbia,34.000343,-81.033211,SC,sc
South Dakota,Pierre,44.367031,-100.346405,SD,sd
Tennessee,Nashville,36.16581,-86.784241,TN,tn
Texas,Austin,30.27467,-97.740349,TX,tx
Utah,Salt Lake City,40.777477,-111.888237,UT,ut
Vermont,Montpelier,44.262436,-72.580536,VT,vt
Virginia,Richmond,37.538857,-77.43364,VA,va
Washington,Olympia,47.035805,-122.905014,WA,wa
West Virginia,Charleston,38.336246,-81.612328,WV,wv
Wisconsin,Madison,43.074684,-89.384445,WI,wi
Wyoming,Cheyenne,41.140259,-104.820236,WY,wy
